# No. of        No. of        No. of basis       No. of shells
# alpha MOs     beta MOs      f'ns in each
   6              5               43                  23
# L,  exponent,     coefficient
1  3.82389000e+00  2.98785132e-01
1  1.44429000e+00 -7.44637225e-02
1  1.44429000e+00  1.53276866e-01
1  1.44429000e+00  3.78900813e-01
1  5.52621000e-01 -4.96900144e-02
1  5.52621000e-01  1.02282419e-01
1  5.52621000e-01  2.52842407e-01
1  1.88720000e-01 -7.28588169e-03
1  1.88720000e-01  1.49973312e-02
1  1.88720000e-01  3.70734419e-02
1  4.65010000e-02  6.51898335e-04
1  4.65010000e-02 -1.34187400e-03
1  4.65010000e-02 -3.31711604e-03
1  1.62850000e-02 -4.46756618e-04
1  1.62850000e-02  9.19608257e-04
1  1.62850000e-02  2.27327401e-03
1  8.00000000e-03  2.03656033e-04
1  8.00000000e-03 -4.19207600e-04
1  8.00000000e-03 -1.03628228e-03
0  3.61664000e+04  4.11571006e-20
0  5.37258000e+03 -1.02852082e-18
0  1.21321000e+03 -8.44301619e-19
0  3.39623000e+02  2.91633560e-18
0  1.09553000e+02  1.60991095e-17
0  3.87773000e+01 -2.28923882e-17
0  1.45759000e+01  1.96044468e-17
0  5.26993000e+00 -1.15713362e-17
0  1.82777000e+00  1.77179021e-17
0  6.19948000e-01 -5.47056828e-16
0  3.57228000e-01  7.67763961e-16
0  6.18610000e-02 -2.02338907e-17
0  2.42950000e-02 -1.88373158e-16
1  1.44645000e+02  5.10790131e-03
1  1.44645000e+02 -9.08030696e-04
1  1.44645000e+02  1.37115949e-03
1  3.39074000e+01  3.66249729e-02
1  3.39074000e+01 -6.51081483e-03
1  3.39074000e+01  9.83156801e-03
1  1.06285000e+01  1.42190063e-01
1  1.06285000e+01 -2.52771018e-02
1  1.06285000e+01  3.81693462e-02
1  3.82389000e+00  3.11846954e-01
1  3.82389000e+00 -5.54369767e-02
1  3.82389000e+00  8.37118581e-02
1  1.44429000e+00  3.95465007e-01
1  1.44429000e+00 -7.03017429e-02
1  1.44429000e+00  1.06158198e-01
1  5.52621000e-01  2.63895777e-01
1  5.52621000e-01 -4.69127046e-02
1  5.52621000e-01  7.08398961e-02
1  1.88720000e-01  3.86941608e-02
1  1.88720000e-01 -6.87865398e-03
1  1.88720000e-01  1.03870186e-02
1  4.65010000e-02 -3.46212854e-03
1  4.65010000e-02  6.15461967e-04
1  4.65010000e-02 -9.29370032e-04
1  1.62850000e-02  2.37265346e-03
1  1.62850000e-02 -4.21786177e-04
1  1.62850000e-02  6.36912522e-04
1  8.00000000e-03 -1.08158485e-03
1  8.00000000e-03  1.92273144e-04
1  8.00000000e-03 -2.90339465e-04
0  3.61664000e+04 -1.53238227e-19
0  5.37258000e+03  3.25057465e-18
0  1.21321000e+03  2.31594802e-18
0  3.39623000e+02 -1.31667876e-17
0  1.09553000e+02 -6.17855890e-17
0  3.87773000e+01  4.42157314e-17
0  1.45759000e+01 -7.84311179e-17
0  5.26993000e+00 -2.91642381e-17
0  1.82777000e+00  2.22486077e-16
0  6.19948000e-01  3.92927984e-16
0  3.57228000e-01 -5.28296986e-16
0  6.18610000e-02  2.28466093e-16
0  2.42950000e-02 -1.76513972e-16
1  1.44645000e+02  1.33400250e-03
1  1.44645000e+02  4.90421365e-03
